objectid,parentid,filename,title,creator,date,date_digitized,description,subject,location,source,source_legacy,identifier,type,type_legacy,format,format_original,format_master,finding_aid,digital_collection,collectionid,language,language_legacy,rights,rightsstatement,display_template,object_location,image_small,image_thumb,publisher,record_structure,record_unmapped,record_thumbnailURL,record_viewerURL,record_relation,record_cdmcreated,record_cdmfile,record_cdmid,record_cdmid_ag,record_cdm_mod,record_cdmoclc,record_cdmoclc_agg,record_cdmpath
dpresbyterian_020,,dpresbyterian_020.pdf,Presbyterian Community Church,,1986-06-01,2013-06-27,"Retirement article for Miner Bruner, June 1, 1986.  Retired from being Pastor of First Presbyterian Church of Logan, to becoming minister or stated supply, of the Preston Congregation, alone.",Preston Presbyterian Community Church; Miner Bruner,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,648,Text,jpg,application/pdf,newspaper article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_020.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_020_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_020_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=648,Item has been Photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=648,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/648,,6/26/2013,649.jpg,648,648,6/26/2013,,,/p151201coll16/image/649.jpg
dpresbyterian_024,,dpresbyterian_024.pdf,Preston Prebyterian Community Church,M. L. Mabery,1990-03-07,2013-06-26,"History and mission of the church as sent to Presbytery, 135 and 136.  M. L. Mabery?  March 7, 1990",Preston Presbyterian Community Church; M. L. Mabery,"Franklin County, Idaho",Phyllis Acock,Digitized version of a document,650,Text,jpg,application/pdf,document,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_024.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_024_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_024_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=650,,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=650,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/650,,6/26/2013,651.jpg,650,650,6/26/2013,,,/p151201coll16/image/651.jpg
dpresbyterian_026,,dpresbyterian_026.pdf,Presbyterian Community Church,Paul Johnson,1905-06-15,2013-06-26,"Newspaper article and picture, 1993.  ""Preston church gets new steeple,""  by Paul Johnson for The Herald Journal.  William and Ruth Weber donated the steeple for the Presbyterian church building.",Preston Presbyterian Community Church,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,656,Text,jpg,application/pdf,newspaper article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_026.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_026_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_026_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=656,Item has been photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=656,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/656,,6/26/2013,657.jpg,656,656,6/26/2013,,,/p151201coll16/image/657.jpg
dpresbyterian_031,,dpresbyterian_031.pdf,Preston Presbyterian Community Church,The Herald Journal,2002-10-01,2013-06-26,"Newspaper article, October, 2002, by Janel Andersen. ""Pioneering Presbyterian Minister Dies.""  Article talks about the death and achievements of Miner Bruner.",Preston Presbyterian Community Church; Miner Bruner,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,661,Text,jpg,application/pdf,newspaper article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_031.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_031_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_031_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=661,Article has been Photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=661,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/661,,6/27/2013,662.jpg,661,661,6/27/2013,,,/p151201coll16/image/662.jpg
dpresbyterian_034,,dpresbyterian_034.pdf,Obituary for Rev. Miner E. Bruner,Herald Journal,2002-10-01,2013-06-26,"Obituary for Miner E. Bruner; Herald Journal, A8. October, 2002",Preston Presbyterian Community Church; Miner E. Bruner,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,662,Text,jpg,application/pdf,Newspaper article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_034.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_034_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_034_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=662,Article was Photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=662,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/662,,6/27/2013,663.jpg,662,662,6/27/2013,,,/p151201coll16/image/663.jpg
dpresbyterian_037,,dpresbyterian_037.pdf,Preston Presbyterian Community Church,"Reuben Wadsworth, Herald Journal",1999-07-28,2013-06-26,"Newspaper Article, The Preston Citizen, July 28, 1999, page 39.  ""Church Housed First LDS, then presbyterian Faith,"" by Reuben Wadsworth.  Article and picture.",Preston Presbyterian Community Church; Presbyterian Community Church Building,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,663,Text,jpg,application/pdf,Newspaper Article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_037.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_037_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_037_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=663,Article has been Photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=663,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/663,,6/27/2013,664.jpg,663,663,6/27/2013,,,/p151201coll16/image/664.jpg
dpresbyterian_044,,dpresbyterian_044.pdf,Preston Presbyterian Community Church,Preston Citizen,2000-09-27,2013-06-26,"Newspaper article, The Preston Citizen, September 27, 2000, ""New Pastor joins local Presbyterians.""  The new pastor is Frank C. Johnke",Preston Presbyterian Community Church; Frank C. Johnke,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,665,Text,jpg,application/pdf,Newspaper article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_044.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_044_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_044_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=665,Article has been Photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=665,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/665,,6/27/2013,666.jpg,665,665,6/27/2013,,,/p151201coll16/image/666.jpg
dpresbyterian_047,,dpresbyterian_047.pdf,Preston Presbyterian Community Church,The Preston Citizen,2000-12-20,2013-06-26,"Newspaper article:  The Preston Citizen, December 20, 2000, p. 8.  ""The Religions of Franklin County:  Presbyterian.""  Article and picture.",Preston Presbyterian Community Church; Religions of Franklin County,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,666,Text,jpg,application/pdf,newspaper article,tiff 800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_047.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_047_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_047_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=666,Article has been Photoshopped to increase clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=666,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/666,,6/27/2013,667.jpg,666,666,6/27/2013,,,/p151201coll16/image/667.jpg
dpresbyterian_048,,dpresbyterian_048.pdf,Preston Presbyterian Community Church,Herald Journal,2001-01-11,2013-06-27,"Newspaper article, The Herald Journal, January 11, 2001, Religion section:  ""Icebreaker:  First Presbyterian is looking to mend some rifts, and has the man for the job.""  Article about Rev. Frank Johnke.",Preston Presbyterian Community Church; Frank Johnke,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,667,Text,jpg,application/pdf,newspaper article,tiff-800 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_048.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_048_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_048_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=667,Article has been Photoshopped to improve clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=667,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/667,,6/27/2013,668.jpg,667,667,6/27/2013,,,/p151201coll16/image/668.jpg
dpresbyterian_049,,dpresbyterian_049.pdf,Preston Presbyterian Community Church,Herald Journal,2001-01-11,2013-06-27,"Newspaper article, The Herald Journal, January 11, 2001, Religion Section.  ""Icebreaker:  First Presbyterian is looking to mend some rifts, and has the man for the job, by Miike Ingraham.    Article is about Rev. Frank Johnke.",Preston Presbyterian Community Church;  Rev. Frank Johnke,"Franklin County, Idaho",Phyllis Acock,Digitized version of a newspaper article,668,Text,jpg,application/pdf,newspaper article,tiff 600 dpi,,,,eng,English,"""In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Larsen Sant Public Library at larsensantlib@gmail.com for information.""",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/franklin-county-images/dpresbyterian_049.pdf,https://objects.lib.uidaho.edu/franklin-county-images/small/dpresbyterian_049_sm.jpg,https://objects.lib.uidaho.edu/franklin-county-images/thumbs/dpresbyterian_049_th.jpg,Larsen-Sant Library Digital Project,http://server16293.contentdm.oclc.org/cgi-bin/showfile.exe?CISOROOT=/p151201coll16&CISOPTR=668,Article was Photoshopped to increase clarity,http://server16293.contentdm.oclc.org/cgi-bin/thumbnail.exe?CISOROOT=/p151201coll16&CISOPTR=668,http://cdm16293.contentdm.oclc.org/cdm/ref/collection/p151201coll16/id/668,,6/27/2013,669.jpg,668,668,6/27/2013,,,/p151201coll16/image/669.jpg
